,text_raw,text_clean
0,"First published by The Writers Coffee Shop, 2011",﻿1 publish by the writer coffee shop
1,"Copyright  E L James, 2011",copyright e l james
2,The right of E L James to be identified as the author of this work has been asserted by her under the Copyright Amendment (Moral Rights) Act 2000,the right of e l james to be identify a the author of this work have be assert by her under the copyright amendment moral right act
3,This work is copyright.,this work be copyright
4,"Apart from any use as permitted under the Copyright Act 1968, no part maybe reproduced, copied, scanned, stored in a retrieval system, recorded or transmitted, in any form or by any means, without the prior written permission of the publisher.",apart from any use a permit under the copyright act no part maybe reproduce copy scan store in a retrieval system record or transmit in any form or by any mean without the prior write permission of the publisher
5,This book is a work of fiction.,this book be a work of fiction
6,"Names, characters, places and incidents are either a product of the authors imagination or are used fictitiously.",name character place and incident be either a product of the author imagination or be use fictitiously
7,"Any resemblance to actual people living or dead, events or locales is entirely coincidental.",any resemblance to actual people live or dead event or locale be entirely coincidental
8,The Writers Coffee Shop,the writer coffee shop
9,(Australia) PO Box 2013 Hornsby Westfield NSW 1635,australia po box hornsby westfield nsw
10,(USA) PO Box 2116 Waxahachie TX 75168,usa po box waxahachie tx
11,Paperback ISBN-978-1-61213-028-6,paperback isbn
12,E-book ISBN-978-1-61213-029-3,e book isbn
13,A CIP catalogue record for this book is available from the US Congress Library.,a cip catalogue record for this book be available from the us congress library
14,Cover image by:  Papuga2006 | Dreamstime.com,cover image by papuga2006 dreamstime com
15,Cover design by: Jennifer McGuire,cover design by jennifer mcguire
16,www.thewriterscoffeeshop.com/ejames,www thewriterscoffeeshop com ejames
17,"E L James is a TV executive, wife, and mother of two, based in West London.",e l james be a tv executive wife and mother of two base in west london
18,"Since early childhood, she dreamt of writing stories that readers would fall in love with, but put those dreams on hold to focus on her family and her career.",since early childhood she dream of write story that reader would fall in love with but put that dream on hold to focus on her family and her career
19,"She finally plucked up the courage to put pen to paper with her first novel, Fifty Shades of Grey.",she finally pluck up the courage to put pen to paper with her ﻿1 novel fifty shade of grey
20,E L James is currently working on the sequel to Fifty Shades of Grey and a new romantic thriller with a supernatural twist.,e l james be currently work on the sequel to fifty shade of grey and a new romantic thriller with a supernatural twist
21,"I am indebted to the following people for their help and support: To my husband Niall  thank you for tolerating my obsession, being a domestic god and doing the first edit.",i be indebted to the follow people for their help and support to my husband niall thank you for tolerate my obsession be a domestic god and do the ﻿1 edit
22,To my boss Lisa  thank you for putting up with me over the last year or so while I indulged in this madness.,to my boss lisa thank you for putt up with me over the last year or so while i indulge in this madness
23,To CCL  Ill never tell but thank you.,to ccl ill never tell but thank you
24,To the original bunker babes  thank you for your friendship and constant support.,to the original bunker babe thank you for your friendship and constant support
25,To SR  thank you for all the helpful advice from the start and for going first.,to sr thank you for all the helpful advice from the start and for go ﻿1
26,To Sue  thanks for sorting me out.,to sue thank for sort me out
27,To Amanda and all at TWCS  thank you for taking a punt.,to amanda and all at twcs thank you for take a punt
28,I scowl with frustration at myself in the mirror.,i scowl with frustration at myself in the mirror
29,"Damn my hair  it just wont behave, and damn Katherine Kavanagh for being ill and subjecting me to this ordeal.",damn my hair it just will not behave and damn katherine kavanagh for be ill and subject me to this ordeal
