,text_raw,text_clean
0,The boy and the goddess tell me about a complicated man.,the boy and the goddess tell me about a complicate man
1,"muse, tell me how he wandered and was lost when he had wrecked the holy town of troy, and where he went, and who he met, the pain he suffered in the storms at sea, and how he worked to save his life and bring his men back home.",muse tell me how he wander and be lose when he have wreck the holy town of troy and where he go and who he meet the pain he suffer in the storm at sea and how he work to save his life and bring his man back home
2,"he failed to keep them safe; poor fools, they ate the sun gods cattle, and the god kept them from home.",he fail to keep them safe poor fool they eat the sun god cattle and the god keep them from home
3,"now goddess, child of zeus, tell the old story for our modern times.",now goddess child of zeus tell the old story for our modern time
4,Find the beginning.,find the begin
5,all the other greeks who had survived the brutal sack of troy sailed safely home to their own wivesexcept this man alone.,all the other greeks who have survive the brutal sack of troy sail safely home to their own wivesexcept this man alone
6,"calypso, a great goddess, had trapped him in her cave; she wanted him to be her husband.",calypso a great goddess have trap him in her cave she want him to be her husband
7,"when the year rolled round in which the gods decreed he should go home to ithaca, his troubles still went on.",when the year roll round in which the god decree he should go home to ithaca his trouble still go on
8,the man was friendless.,the man be friendless
9,"all the gods took pity, except poseidons anger never ended",all the god take pity except poseidons anger never end
10,Until odysseus was back at home.,until odysseus be back at home
11,"but now the distant ethiopians, who live between the sunset and the dawn, were worshipping the sea god with a feast, a hundred cattle and a hundred rams.",but now the distant ethiopians who live between the sunset and the dawn be worship the sea god with a feast a hundred cattle and a hundred ram
12,"there sat the god, delighting in his banquet.",there sit the god delight in his banquet
13,"the other gods were gathered on olympus, in father zeus palace.",the other god be gather on olympus in father zeus palace
14,"he was thinking of fine, well-born aegisthus, who was killed by agamemnons famous son orestes.",he be think of fine good bear aegisthus who be kill by agamemnons famous son orestes
15,"He told the deathless gods, this is absurd, that mortals blame the gods!",he tell the deathless god this be absurd that mortal blame the god
16,"they say we cause their suffering, but they themselves increase it by folly.",they say we because their suffer but they themselves increase it by folly
17,"so aegisthus overstepped: he took the legal wife of agamemnon, then killed the husband when he came back home, although he knew that it would doom them all.",so aegisthus overstep he take the legal wife of agamemnon then kill the husband when he come back home although he know that it would doom them all
18,"we gods had warned aegisthus; we sent down perceptive hermes, who flashed into sight and told him not to murder agamemnon",we god have warn aegisthus we send down perceptive hermes who flash into sight and tell him not to murder agamemnon
19,"Or court his wife, orestes would grow up and come back to his home to take revenge.",or court his wife orestes would grow up and come back to his home to take revenge
20,aegisthus would not hear that good advice.,aegisthus would not hear that good advice
21,but now his death has paid all debts.,but now his death have pay all debt
22,"athena looked at him steadily and answered, father, he did deserve to die.",athena look at him steadily and answer father he do deserve to die
23,bring death to all who act like him!,bring death to all who act like him
