,text_raw,text_clean
192,"She'd send me right back to Yancy,  remind me that I had to try harder, even if this was my sixth  school in six years and I was probably going to be kicked  out again.",she would send me right back to yancy remind me that i have to try hard even if this be my 6 school in six year and i be probably go to be kick out again
193,I wouldn't be able to stand that sad look she'd  give me.,i would not be able to stand that sad look she would give me
194,Mr. Brunner parked his wheelchair at the base of the  handicapped ramp.,mr brunner park his wheelchair at the base of the handicap ramp
195,He ate celery while he read a paperback  novel.,he eat celery while he read a paperback novel
196,"A red umbrella stuck up from the back of his chair,  making it look like a motorized cafe table.",a red umbrella stick up from the back of his chair make it look like a motorize cafe table
197,I was about to unwrap my sandwich when Nancy  Bobofit appeared in front of me with her ugly friends  I  guess she'd gotten tired of stealing from the tourists  and  dumped her half-eaten lunch in Grover's lap.,i be about to unwrap my sandwich when nancy bobofit appear in front of me with her ugly friend i guess she would get tire of steal from the tourist and dump her half eat lunch in grover s lap
198,"""Oops.""",oops
199,She grinned at me with her crooked teeth.,she grin at me with her crook tooth
200,"Her  freckles were orange, as if somebody had spray-painted her  face with liquid Cheetos.",her freckle be orange a if somebody have spray paint her face with liquid cheetos
201,I tried to stay cool.,i try to stay cool
202,"The school counselor had told me a  million times, ""Count to ten, get control of your temper.""",the school counselor have tell me a million time count to ten get control of your temper
203,But I was so mad my mind went blank.,but i be so mad my mind go blank
204,A wave roared in my  ears.,a wave roar in my ear
205,"I don't remember touching her, but the next thing I  knew, Nancy was sitting on her butt in the fountain,  screaming, ""Percy pushed me!""",i do not remember touch her but the next thing i know nancy be sit on her butt in the fountain scream percy push me
206,Mrs. Dodds materialized next to us.,mrs dodds materialize next to us
207,"Some of the kids were whispering: ""Did you see  """,some of the kid be whisper do you see
208,"""  the water  """,the water
209,"""  like it grabbed her  """,like it grab her
210,I didn't know what they were talking about.,i do not know what they be talk about
211,AU I knew  was that I was in trouble again.,au i know be that i be in trouble again
212,"As soon as Mrs. Dodds was sure poor little Nancy was  okay, promising to get her a new shirt at the museum gift  shop, etc., etc., Mrs. Dodds turned on me.",a soon a mrs dodds be sure poor little nancy be okay promise to get her a new shirt at the museum gift shop etc etc mrs dodds turn on me
213,"There was a tri-  umphant fire in her eyes, as if I'd done something she'd been  waiting for all semester.",there be a tri umphant fire in her eye a if i would do something she would be wait for all semester
214,"""Now, honey  """,now honey
215,"""I know,"" I grumbled.",i know i grumble
216,"""A month erasing workbooks.""",a month erase workbook
217,That wasn't the right thing to say.,that be not the right thing to say
218,"""Come with me,"" Mrs. Dodds said.",come with me mrs dodds say
219,"""Wait!""",wait
220,Grover yelped.,grover yelp
221,"""It was me.",it be me
222,"/pushed her.""",push her
223,"I stared at him, stunned.",i stare at him stun
224,I couldn't believe he was trying  to cover for me.,i can not believe he be try to cover for me
225,Mrs. Dodds scared Grover to death.,mrs dodds scare grover to death
226,She glared at him so hard his whiskery chin trembled.,she glare at him so hard his whiskery chin tremble
227,"""I don't think so, Mr. Underwood,"" she said.",i do not think so mr underwood she say
228,"""You  will  stay  here.""",you will stay here
229,Grover looked at me desperately.,grover look at me desperately
230,"""It's okay, man,"" I told him.",it be okay man i tell him
231,"""Thanks for trying.""",thank for try
232,"""Honey,"" Mrs. Dodds barked at me.",honey mrs dodds bark at me
233,"""Now.""",now
234,Nancy Bobofit smirked.,nancy bobofit smirk
235,I gave her my deluxe I'll-kill-you-later stare.,i give her my deluxe i will kill you late stare
236,"Then I  turned to face Mrs. Dodds, but she wasn't there.",then i turn to face mrs dodds but she be not there
237,"She was  standing at the museum entrance, way at the top of the  steps, gesturing impatiently at me to come on.",she be stand at the museum entrance way at the top of the step gesture impatiently at me to come on
238,How'd she get there so fast?,how do she get there so fast
239,"I have moments like that a lot, when my brain falls  asleep or something, and the next thing I know I've missed  something, as if a puzzle piece fell out of the universe and  left me staring at the blank place behind it.",i have moment like that a lot when my brain fall asleep or something and the next thing i know i have miss something a if a puzzle piece fall out of the universe and leave me stare at the blank place behind it
240,"The school  counselor told me this was part of the ADHD, my brain  misinterpreting things.",the school counselor tell me this be part of the adhd my brain misinterpret thing
241,I wasn't so sure.,i be not so sure
242,I went after Mrs. Dodds.,i go after mrs dodds
243,"Halfway up the steps, I glanced back at Grover.",halfway up the step i glance back at grover
244,"He was  looking pale, cutting his eyes between me and Mr. Brunner,  like he wanted Mr. Brunner to notice what was going on,  but Mr. Brunner was absorbed in his novel.",he be look pale cut his eye between me and mr brunner like he want mr brunner to notice what be go on but mr brunner be absorb in his novel
245,I looked back up.,i look back up
246,Mrs. Dodds had disappeared again.,mrs dodds have disappear again
247,"She was now inside the building, at the end of the entrance  hall.",she be now inside the build at the end of the entrance hall
248,"Okay, I thought.",okay i think
249,She's going to make me buy a new shirt  for Nancy at the gift shop.,she be go to make me buy a new shirt for nancy at the gift shop
250,But apparently that wasn't the plan.,but apparently that be not the plan
251,I followed her deeper into the museum.,i follow her deep into the museum
252,"When I finally  caught up to her, we were back in the Greek and Roman  section.",when i finally catch up to her we be back in the greek and roman section
253,"Except for us, the gallery was empty.",except for us the gallery be empty
254,Mrs. Dodds stood with her arms crossed in front of a  big marble frieze of the Greek gods.,mrs dodds stand with her arm cross in front of a big marble frieze of the greek god
255,"She was making this  weird noise in her throat, like growling.",she be make this weird noise in her throat like growl
256,"Even without the noise, I would've been nervous.",even without the noise i would have be nervous
257,"It's  weird being alone with a teacher, especially Mrs. Dodds.",it be weird be alone with a teacher especially mrs dodds
258,"Something about the way she looked at the frieze, as if she  wanted to pulverize it",something about the way she look at the frieze a if she want to pulverize it
259,. . .,
260,"""You've been giving us problems, honey,"" she said.",you have be give us problem honey she say
261,I did the safe thing.,i do the safe thing
262,"I said, ""Yes, ma'am.""",i say yes madam
263,She tugged on the cuffs of her leather jacket.,she tug on the cuff of her leather jacket
264,"""Did you  really think you would get away with it?""",do you really think you would get away with it
265,The look in her eyes was beyond mad.,the look in her eye be beyond mad
266,It was evil.,it be evil
267,"She's a teacher, I thought nervously.",she be a teacher i think nervously
268,It's not like she's  going to hurt me.,it be not like she be go to hurt me
269,"I said, ""I'll  I'll try harder, ma'am.""",i say i will i will try hard madam
270,Thunder shook the building.,thunder shake the build
271,"""We are not fools, Percy Jackson,"" Mrs. Dodds said.",we be not fool percy jackson mrs dodds say
272,"""It  was only a matter of time before we found you out.",it be only a matt of time before we find you out
273,"Confess, and you will suffer less pain.""",confess and you will suffer little pain
274,I didn't know what she was talking about.,i do not know what she be talk about
275,All I could think of was that the teachers must've found  the illegal stash of candy I'd been selling out of my dorm  room.,all i can think of be that the teacher must have find the illegal stash of candy i would be sell out of my dorm room
276,Or maybe they'd realized I got my essay on Tom Sawyer  from the Internet without ever reading the book and now  they were going to take away my grade.,or maybe they would realize i get my essay on tom sawyer from the internet without ever read the book and now they be go to take away my grade
277,"Or worse, they were  going to make me read the book.",or wrong they be go to make me read the book
278,"""Well?""",good
279,she demanded.,she demand
280,"""Ma'am, I don't .",madam i do not
281,". .""",
282,"""Your time is up,"" she hissed.",your time be up she hiss
283,Then the weirdest thing happened.,then the weird thing happen
284,Her eyes began to  glow like barbecue coals.,her eye begin to glow like barbecue coal
285,"Her fingers stretched, turning into  talons.",her finger stretch turn into talon
286,"Her jacket melted into large, leathery wings.",her jacket melt into large leathery wing
287,She  wasn't human.,she be not human
288,"She was a shriveled hag with bat wings and  claws and a mouth full of yellow fangs, and she was about  to slice me to ribbons.",she be a shrivel hag with bat wing and claw and a mouth full of yellow fang and she be about to slice me to ribbon
289,Then things got even stranger.,then thing get even strange
290,"Mr. Brunner, who'd been out in front of the museum a  minute before, wheeled his chair into the doorway of the  gallery, holding a pen in his hand.",mr brunner who would be out in front of the museum a minute before wheel his chair into the doorway of the gallery hold a pen in his hand
291,"""What ho, Percy!""",what ho percy
292,"he shouted, and tossed the pen  through the air.",he shout and toss the pen through the air
293,Mrs. Dodds lunged at me.,mrs dodds lunge at me
294,"With a yelp, I dodged and felt talons slash the air next  to my ear.",with a yelp i dodge and feel talon slash the air next to my ear
295,"I snatched the ballpoint pen out of the air, but  when it hit my hand, it wasn't a pen anymore.",i snatch the ballpoint pen out of the air but when it hit my hand it be not a pen anymore
296,"It was a  sword  Mr. Brunner's bronze sword, which he always used  on tournament day.",it be a sword mr brunner s bronze sword which he always use on tournament day
297,Mrs. Dodds spun toward me with a murderous look in  her eyes.,mrs dodds spin toward me with a murderous look in her eye
298,My knees were jelly.,my knee be jelly
299,My hands were shaking so bad I  almost dropped the sword.,my hand be shake so bad i almost drop the sword
300,"She snarled, ""Die, honey!""",she snarl die honey
301,And she flew straight at me.,and she fly straight at me
302,Absolute terror ran through my body.,absolute terror run through my body
303,I did the only  thing that came naturally: I swung the sword.,i do the only thing that come naturally i swing the sword
304,The metal blade hit her shoulder and passed clean  through her body as if she were made of water.,the metal blade hit her shoulder and pass clean through her body a if she be make of water
305,Hisss!,hisss
306,Mrs. Dodds was a sand castle in a power fan.,mrs dodds be a sand castle in a power fan
307,"She  exploded into yellow powder, vaporized on the spot, leaving  nothing but the smell of sulfur and a dying screech and a  chill of evil in the air, as if those two glowing red eyes were  still watching me.",she explode into yellow powder vaporize on the spot leave nothing but the smell of sulfur and a dye screech and a chill of evil in the air a if that two glow red eye be still watch me
308,I was alone.,i be alone
309,There was a ballpoint pen in my hand.,there be a ballpoint pen in my hand
310,Mr. Brunner wasn't there.,mr brunner be not there
311,Nobody was there but me.,nobody be there but me
312,My hands were still trembling.,my hand be still tremble
313,My lunch must've  been contaminated with magic mushrooms or some-  thing.,my lunch must have be contaminate with magic mushroom or some thing
314,Had I imagined the whole thing?,have i imagine the whole thing
315,I went back outside.,i go back outside
316,It had started to rain.,it have start to rain
317,"Grover was sitting by the fountain, a museum map  tented over his head.",grover be sit by the fountain a museum map tent over his head
